year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec
1980;-4.7;-6.2;-3.1;4.8;7.8;15.6;16.8;14.6;12.8;5.7;-0.0;-0.8
1981;-4.0;-2.7;-2.2;3.9;10.8;12.6;16.4;14.6;11.7;6.5;1.1;-5.7
1982;-7.2;-4.0;1.1;4.1;9.4;12.5;17.4;17.0;12.3;7.6;4.5;0.3
1983;0.7;-3.8;-0.1;4.0;10.2;14.0;18.0;17.8;12.4;7.5;1.2;-1.1
1984;-3.0;-1.7;-2.0;5.3;10.9;13.3;15.3;16.4;10.6;8.9;4.3;0.8
1985;-9.0;-11.6;-1.7;1.6;9.0;13.6;15.9;15.4;10.3;8.0;0.3;-4.3
1986;-5.0;-8.4;0.2;2.1;11.5;15.1;16.3;13.1;9.0;7.2;4.8;-1.5
1987;-12.0;-4.4;-4.2;4.1;7.5;11.3;15.5;12.5;10.6;8.6;2.5;-1.5
1988;-0.1;-0.9;-2.1;3.1;11.2;14.9;17.2;14.9;13.2;6.4;-0.8;-2.4
1989;2.4;2.4;2.6;4.6;11.5;15.0;17.4;15.2;13.0;7.7;2.3;-2.2
1990;0.5;3.4;3.9;6.5;10.8;14.4;15.1;16.7;10.2;7.4;1.5;0.8
1991;-0.7;-3.1;1.4;4.8;7.2;11.1;17.9;17.1;11.7;7.4;3.5;0.6
1992;0.6;-0.1;2.0;2.6;12.6;17.0;16.9;15.8;11.8;4.0;2.1;1.0
1993;-0.3;-0.9;1.0;5.2;12.6;12.2;15.7;13.6;9.2;6.2;0.9;-0.4
1994;-2.1;-6.9;-0.1;5.9;8.6;13.2;20.6;16.6;11.8;6.2;3.0;1.8
1995;-2.5;0.1;1.3;3.3;8.1;15.0;17.0;17.7;12.1;9.4;-0.1;-4.9
1996;-4.0;-6.9;-1.5;5.6;7.6;14.1;15.1;19.1;10.5;8.3;3.2;-3.2
1997;-2.3;-0.5;1.6;3.1;8.2;15.1;18.6;20.6;12.8;4.8;2.1;-0.5
1998;-0.3;0.8;-0.5;3.1;9.8;12.4;15.5;14.1;12.7;6.6;-0.3;-0.4
1999;-2.3;-2.4;0.7;6.6;8.9;16.0;19.2;16.4;15.7;7.8;4.3;-1.6
2000;-1.0;-0.4;1.2;6.0;11.1;13.6;15.3;15.7;11.7;10.3;6.6;2.3
2001;-0.7;-4.2;-1.3;5.0;9.9;14.3;19.0;16.6;12.3;9.7;2.6;-2.0
2002;-1.1;0.9;1.6;6.5;11.4;16.4;18.2;20.6;13.2;3.7;0.5;-4.0
2003;-3.9;-4.0;2.3;3.7;10.3;15.0;19.7;16.9;13.3;4.9;4.1;0.9
2004;-3.5;-1.6;0.9;6.0;9.6;13.4;16.1;17.8;13.2;7.5;1.4;1.0
2005;0.6;-2.5;-2.3;6.0;9.7;14.0;18.5;16.3;13.5;8.7;4.0;-0.5
2006;-3.1;-3.5;-3.8;4.5;10.1;15.9;19.8;18.4;15.2;9.6;4.4;4.3
2007;-0.3;-3.6;3.8;7.3;10.2;15.5;16.1;17.1;11.8;7.4;2.0;1.2
2008;1.4;2.1;0.8;6.5;10.7;15.4;17.8;15.3;11.1;8.1;2.9;0.9
2009;-1.9;-2.6;0.1;7.6;10.7;12.8;16.8;16.8;13.8;5.4;5.1;-2.0
2010;-7.8;-6.1;-1.1;5.5;10.1;14.5;20.3;16.4;11.7;6.1;-0.1;-7.2
2011;-2.6;-5.1;0.3;8.3;10.6;16.3;18.5;16.7;13.7;8.2;5.6;1.9
2012;-1.7;-3.7;3.5;4.0;10.9;12.6;16.8;16.0;11.9;6.5;4.1;-3.6
2013;-4.0;-2.1;-3.2;4.0;11.9;15.3;17.4;17.1;12.7;8.5;3.9;2.8
2014;-2.2;1.5;3.6;6.6;9.9;13.1;19.7;16.8;13.3;9.2;5.1;-0.1
2015;0.1;0.4;3.0;6.5;8.9;13.4;16.0;17.5;13.2;7.9;4.6;3.5
2016;-5.0;-0.3;2.3;5.3;11.9;15.4;18.0;16.1;14.9;6.9;1.5;1.6
